"gettimeofday","Date & Time","sys/time.h","DCE",
"time","Date & Time","time.h","DCE",
"asctime, ctime, gmtime, localtime","Date & Time","time.h","DCE",
"asctime_r, ctime_r, gmtime_r, localtime_r, mktime, strftime","Date & Time","time.h","NATIVE",
"clock_gettime","Date & Time","time.h","NATIVE","Should not be NATIVE, do not use for now."
"read","IO","unistd.h","DCE",
"write","IO","unistd.h","DCE",
"writev","IO","sys/uio.h","DCE",
"clearerr","IO","stdio.h","DCE",
"setbuf, setbuffer, setlinebuf, setvbuf","IO","stdio.h","DCE",
"fseek, ftell, rewind, fgetpos, fsetpos ","IO","stdio.h","DCE",
"printf","IO","stdio.h","DCE",
"fprintf","IO","stdio.h","NATIVE",
"sprintf, snprintf","IO","stdio.h","NATIVE",
"asprintf, vasprintf","IO","stdio.h","NATIVE",
"dprintf, vdprintf","IO","stdio.h","NATIVE",
"fgetc, fgetc_unlocked","IO","stdio.h","DCE",
"getc, getc_unlocked","IO","stdio.h","NATIVE",
"getchar, getchar_unlocked","IO","stdio.h","DCE",
"_IO_getc","IO","stdio.h","DCE",
"fputc, fputc_unlocked","IO","stdio.h","DCE",
"putc, putc_unlocked","IO","stdio.h","NATIVE",
"putchar, putchar_unlocked","IO","stdio.h","DCE",
"_IO_putc","IO","stdio.h","DCE",
"fgets, fgets_unlocked","IO","stdio.h","DCE",
"fputs, fputs_unlocked","IO","stdio.h","DCE",
"puts","IO","stdio.h","DCE",
"ungetc","IO","stdio.h","DCE",
"fclose","IO","stdio.h","DCE",
"fcloseall","IO","stdio.h","DCE",
"fopen, fdopen64, fdopen, freopen","IO","stdio.h","DCE",
"fflush, fflush_unlocked","IO","stdio.h","DCE",
"fread, fread_unlocked","IO","stdio.h","DCE",
"fwrite, fwrite_unlocked","IO","stdio.h","DCE",
"ferror, ferror_unlocked","IO","stdio.h","DCE",
"feof, feof_unlocked","IO","stdio.h","DCE",
"fileno, fileno_unlocked","IO","stdio.h","DCE",
"perror","IO","stdlib.h","DCE",
"vprintf","IO","stdarg.h","DCE",
"vfprintf, vsprintf, vsnprintf","IO","stdarg.h","NATIVE",
"fcntl","IO","fcntl.h","DCE",
"dup, dup2","IO","unistd.h","DCE",
"open, open64","IO","fcntl.h","DCE",
"close","IO","unistd.h","DCE",
"unlink","IO","unistd.h","DCE",
"remove","IO","stdio.h","DCE",
"mkdir","IO","sys/stat.h","DCE",
"rmdir","IO","unistd.h","DCE",
"select","IO","unistd.h","DCE",
"isatty","IO","unistd.h","DCE",
"ioctl","IO","sys/ioctl.h","DCE",
"poll","IO","poll.h","DCE",
"getcwd, getwd, get_current_dir_name","IO","unistd.h","DCE",
"chdir, fchdir","IO","unistd.h","DCE",
"alphasort, alphasort64, versionsort","IO","dirent.h","NATIVE",
"umask","IO","sys/stat.h","DCE",
"truncate, ftruncate","IO","unistd.h","DCE",
"ttyname","IO","unistd.h","DCE",
"lseek","IO","unistd.h","DCE",
"euidaccess, eaccess","IO","unistd.h","DCE",
"pathconf","IO","unistd.h","NATIVE",
"getpwnam, getpwuid, endpwent","IO","pwd.h","DCE",
"opendir, fdopendir","IO","dirent.h","DCE",
"readdir, readdir_r","IO","dirent.h","DCE",
"closedir","IO","dirent.h","DCE",
"dirfd","IO","dirent.h","DCE",
"rewinddir","IO","dirent.h","DCE",
"scandir","IO","dirent.h","DCE",
"unlinkat","IO","fcntl.h","DCE",
"pread, pwrite","IO","unistd.h","DCE",
"uname","Kernel","sys/utsname.h","DCE",
"sysconf","Kernel","unistd.h","NATIVE",
"calloc, malloc, free, realloc","Memory Allocation","stdlib.h","DCE",
"mmap, mmap64, munmap","Memory Mappings","sys/map.h","DCE",
"htonl","Networking","arpa/inet.h","NATIVE",
"htons","Networking","arpa/inet.h","NATIVE",
"ntohl","Networking","arpa/inet.h","NATIVE",
"htonl","Networking","arpa/inet.h","NATIVE",
"ntohs","Networking","arpa/inet.h","NATIVE",
"socket","Networking","sys/socket.h","DCE","Not all flavour are supported pleaselook at the doxygen doc."
"getsockname","Networking","sys/socket.h","DCE",
"getpeername","Networking","sys/socket.h","DCE",
"bind","Networking","sys/socket.h","DCE",
"connect","Networking","sys/socket.h","DCE",
"inet_aton, inet_addr, inet_network, inet_ntoa, inet_makeaddr, inet_lnaof, inet_netof","Networking","arpa/inet.h","NATIVE",
"inet_ntop","Networking","arpa/inet.h","DCE",
"inet_pton","Networking","arpa/inet.h","NATIVE",
"getsockopt, setsockopt","Networking","sys/socket.h","DCE",
"listen","Networking","sys/socket.h","DCE",
"accept","Networking","sys/socket.h","DCE",
"shutdown","Networking","sys/socket.h","DCE",
